domain,card,whop,altcoin,onramp,notes
# -- onramp-enabled (top performers - show "Card (Alt)" on checkout) --
lile-perrotpeptides.ca,0,0,0,0,interac/zelle + crypto only
mile-endpeptides.ca,0,0,0,0,interac/zelle + crypto only
griffintownpeptides.ca,0,0,0,0,interac/zelle + crypto only
ndg-notre-dame-de-gracepeptides.ca,0,0,0,0,interac/zelle + crypto only
verdunpeptides.ca,0,0,0,0,interac/zelle + crypto only
lasallepeptides.ca,0,0,0,0,interac/zelle + crypto only
lachinepeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-laurentpeptides.ca,0,0,0,0,interac/zelle + crypto only
anjoupeptides.ca,0,0,0,0,interac/zelle + crypto only
ahuntsicpeptides.ca,0,0,0,0,interac/zelle + crypto only
mercier-hochelaga-maisonneuve.ca,0,0,0,0,interac/zelle + crypto only
rosemontpeptides.ca,0,0,0,0,interac/zelle + crypto only
villeraypeptides.ca,0,0,0,0,interac/zelle + crypto only
rdppeptides.ca,0,0,0,0,interac/zelle + crypto only
pierrefondspeptides.ca,0,0,0,0,interac/zelle + crypto only
ilebizardpeptides.ca,0,0,0,0,interac/zelle + crypto only
cotedesneigespeptides.ca,0,0,0,0,interac/zelle + crypto only
snowdonpeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-henripeptides.ca,0,0,0,0,interac/zelle + crypto only
thepointepeptides.ca,0,0,0,0,interac/zelle + crypto only
hochelagapeptides.ca,0,0,0,0,interac/zelle + crypto only
coquitlampeptides.ca,0,0,0,0,interac/zelle + crypto only
pittmeadowspeptides.ca,0,0,0,0,interac/zelle + crypto only
cloverdalepeptides.ca,0,0,0,0,interac/zelle + crypto only
deltapeptides.ca,0,0,0,0,interac/zelle + crypto only
mapleridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
newwestminsterpeptides.ca,0,0,0,0,interac/zelle + crypto only
fleetwoodpeptides.ca,0,0,0,0,interac/zelle + crypto only
guildfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
westvancouverpeptides.ca,0,0,0,0,interac/zelle + crypto only
portmoodypeptides.ca,0,0,0,0,interac/zelle + crypto only
tsawwassenpeptides.ca,0,0,0,0,interac/zelle + crypto only
newtonpeptides.ca,0,0,0,0,interac/zelle + crypto only
whalleypeptides.ca,0,0,0,0,interac/zelle + crypto only
panoramaridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
stevestonpeptides.ca,0,0,0,0,interac/zelle + crypto only
kitsilanopeptides.ca,0,0,0,0,interac/zelle + crypto only
kerrisdalepeptides.ca,0,0,0,0,interac/zelle + crypto only
dunbarpeptides.ca,0,0,0,0,interac/zelle + crypto only
pointgreypeptides.ca,0,0,0,0,interac/zelle + crypto only
yaletownpeptides.ca,0,0,0,0,interac/zelle + crypto only
commercialdrivepeptides.ca,0,0,0,0,interac/zelle + crypto only
metrotownpeptides.ca,0,0,0,0,interac/zelle + crypto only
brentwoodpeptides.ca,0,0,0,0,interac/zelle + crypto only
lougheedpeptides.ca,0,0,0,0,interac/zelle + crypto only
edmondspeptides.ca,0,0,0,0,interac/zelle + crypto only
burkemountainpeptides.ca,0,0,0,0,interac/zelle + crypto only
willoughbypeptides.ca,0,0,0,0,interac/zelle + crypto only
walnutgrovepeptides.ca,0,0,0,0,interac/zelle + crypto only
aldergrovepeptides.ca,0,0,0,0,interac/zelle + crypto only
missionpeptides.ca,0,0,0,0,interac/zelle + crypto only
abbotsfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
chilliwackpeptides.ca,0,0,0,0,interac/zelle + crypto only
squamishpeptides.ca,0,0,0,0,interac/zelle + crypto only
whistlerpeptides.ca,0,0,0,0,interac/zelle + crypto only
airdriepeptides.ca,0,0,0,0,interac/zelle + crypto only
cochranepeptides.ca,0,0,0,0,interac/zelle + crypto only
chestermerepeptides.ca,0,0,0,0,interac/zelle + crypto only
okotokspeptides.ca,0,0,0,0,interac/zelle + crypto only
strathmorepeptides.ca,0,0,0,0,interac/zelle + crypto only
canmorepeptides.ca,0,0,0,0,interac/zelle + crypto only
beltlinepeptides.ca,0,0,0,0,interac/zelle + crypto only
bownesspeptides.ca,0,0,0,0,interac/zelle + crypto only
rockyridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
dalhousiepeptides.ca,0,0,0,0,interac/zelle + crypto only
stalbertpeptides.ca,0,0,0,0,interac/zelle + crypto only
sherwoodparkpeptides.ca,0,0,0,0,interac/zelle + crypto only
sprucegrovepeptides.ca,0,0,0,0,interac/zelle + crypto only
leducpeptides.ca,0,0,0,0,interac/zelle + crypto only
fortsaskatchewanpeptides.ca,0,0,0,0,interac/zelle + crypto only
beaumontpeptides.ca,0,0,0,0,interac/zelle + crypto only
stonyplainpeptides.ca,0,0,0,0,interac/zelle + crypto only
morinvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
oliverpeptides.ca,0,0,0,0,interac/zelle + crypto only
millwoodspeptides.ca,0,0,0,0,interac/zelle + crypto only
themeadowspeptides.ca,0,0,0,0,interac/zelle + crypto only
windermerepeptides.ca,0,0,0,0,interac/zelle + crypto only
rutherfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
terwillegarpeptides.ca,0,0,0,0,interac/zelle + crypto only
riverbendpeptides.ca,0,0,0,0,interac/zelle + crypto only
clareviewpeptides.ca,0,0,0,0,interac/zelle + crypto only
castledownspeptides.ca,0,0,0,0,interac/zelle + crypto only
ellersliepeptides.ca,0,0,0,0,interac/zelle + crypto only
heritagevalleypeptides.ca,0,0,0,0,interac/zelle + crypto only
gatineaupeptides.ca,0,0,0,0,interac/zelle + crypto only
kanatapeptides.ca,0,0,0,0,interac/zelle + crypto only
orleanspeptides.ca,0,0,0,0,interac/zelle + crypto only
nepeanpeptides.ca,0,0,0,0,interac/zelle + crypto only
gloucesterpeptides.ca,0,0,0,0,interac/zelle + crypto only
barrhavenpeptides.ca,0,0,0,0,interac/zelle + crypto only
stittsvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
riversidesouthpeptides.ca,0,0,0,0,interac/zelle + crypto only
vanierpeptides.ca,0,0,0,0,interac/zelle + crypto only
theglebepeptides.ca,0,0,0,0,interac/zelle + crypto only
centretownpeptides.ca,0,0,0,0,interac/zelle + crypto only
altavistapeptides.ca,0,0,0,0,interac/zelle + crypto only
sandyhillpeptides.ca,0,0,0,0,interac/zelle + crypto only
aylmerpeptides.ca,0,0,0,0,interac/zelle + crypto only
hullpeptides.ca,0,0,0,0,interac/zelle + crypto only
